,№,General standard #,Freq.,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning
,1,0001,2,一 1.0,3050722,"1,576568%",1,1,1,一,yī,yi,first,"one; a, an; alone"
,2,0002,1872,乙 5.0,8313,"0,004297%",5,5,1,乙,yǐ,yi,third,second; 2nd heavenly stem
,3,0003,157,二 7.0,267506,"0,138276%",1,1,2,二,èr,er,fourth,two; twice
,4,0004,112,十 24.0,338954,"0,175208%",1,1,2,十,shí,shi,second,"ten, tenth; complete; perfect"
,5,0005,1168,一 1.1,23479,"0,012136%",6,7–9,2,丁,dīng,ding,first,"male adult; robust, vigorous; 4th heavenly stem"
,6,0006,963,厂 27.0,33468,"0,017300%",5,3,2,厂,chǎng,chang,third,"factory, workshop; radical 27"
,7,0007,530,一 1.1,76766,"0,039681%",1,1,2,七,qī,qi,first,seven
,8,0008,1979,卜 25.0,7301,"0,003774%",,7–9,2,卜,bo,bo,neutral,fortune telling; prophesy
,9,0009,451,八 12.0,92700,"0,047917%",1,1,2,八,bā,ba,first,"eight; all around, all sides"
,10,0010,7,人 9.0,1867999,"0,965584%",1,1,2,人,rén,ren,second,man; people; mankind; someone else
,11,0011,210,入 11.0,192433,"0,099470%",4,2,2,入,rù,ru,fourth,"enter, come in(to), join"
,12,0012,192,儿 10.0,207827,"0,107428%",1,1,2,儿,ér,er,second,"son, child; KangXi radical 10"
,13,0013,3252,匕 21.0,1388,"0,000717%",,,2,匕,bǐ,bi,third,"spoon, ladle; knife, dirk"
,14,0014,211,几 16.0,192355,"0,099430%",1,1,2,几,jǐ,ji,third,small table
,15,0015,445,乙 5.1,94580,"0,048889%",1,1,2,九,jiǔ,jiu,third,nine
,16,0016,3635,刀 18.0,871,"0,000450%",,7–9,2,刁,diāo,diao,first,"tricky, sly, crafty, cunning"
,17,0017,5,亅 6.1,2128528,"1,100254%",1,1,2,了,le,le,neutral,to finish; particle of completed action
,18,0018,1067,刀 18.0,27292,"0,014107%",4,3,2,刀,dāo,dao,first,knife; old coin; measure
,19,0019,106,力 19.0,359136,"0,185640%",3,2,2,力,lì,li,fourth,"power, capability, influence"
,20,0020,1165,丿 4.1,23520,"0,012158%",,7–9,2,乃,nǎi,nai,third,"then; really, indeed; as it turned out, after all; namely"
,21,0021,126,又 29.0,302933,"0,156589%",3,2,2,又,yòu,you,fourth,"and, also, again, in addition"
,22,0022,125,一 1.2,304272,"0,157281%",1,1,3,三,sān,san,first,three
,23,0023,353,干 51.0,120564,"0,062321%",3,1,3,干,gàn,gan,fourth,"oppose, offend; invade; dried"
,24,0024,40,二 7.1,630524,"0,325923%",3,2,3,于,yú,yu,second,"in, on, at; go to; surname"
,25,0025,1738,二 7.1,9884,"0,005109%",5,5,3,亏,kuī,kui,first,"lose, fail; damage; deficient"
,26,0026,118,工 48.0,317532,"0,164135%",1,1,3,工,gōng,gong,first,"labor, work; worker, laborer"
,27,0027,515,土 32.0,79809,"0,041254%",5,3,3,土,tǔ,tu,third,"soil, earth; items made of earth"
,28,0028,372,士 33.0,115704,"0,059808%",4,4,3,士,shì,shi,fourth,"scholar, gentleman; soldier"
