,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,1,一 1.0,2,0001,3050722,"1,576568%",1,1,1,一,yī,yi,first,"one; a, an; alone",,的
,2,一 1.1,530,0007,76766,"0,039672%",1,1,2,七,qī,qi,first,seven,,一
,3,一 1.1,1168,0005,23479,"0,012134%",6,7–9,2,丁,dīng,ding,first,"male adult; robust, vigorous; 4th heavenly stem",,是
,4,一 1.2,16,0036,1069575,"0,552740%",1,1,3,上,shàng,shang,fourth,"top; superior, highest; go up, send up",,不
,5,一 1.2,42,0030,621185,"0,321019%",1,1,3,下,xià,xia,fourth,"under, underneath, below; down; inferior; bring down",,了
,6,一 1.2,125,0022,304272,"0,157243%",1,1,3,三,sān,san,first,three,,在
,7,一 1.2,322,0035,134220,"0,069363%",3,2,3,万,wàn,wan,fourth,ten thousand; innumerable,,人
,8,一 1.2,1242,0033,20372,"0,010528%",2,4,3,丈,zhàng,zhang,fourth,"unit of length equal 3.3 meters; gentleman, man, husband",,有
,9,一 1.3,4,0091,2237915,"1,156521%",1,1,4,不,bù,bu,fourth,"no, not; un-; negative prefix",,我
,10,一 1.3,108,0034,345532,"0,178566%",4,4,3,与,yǔ,yu,third,"and; with; to; for; give, grant",,他
,11,一 1.3,485,0083,84361,"0,043597%",4,3,4,专,zhuān,zhuan,first,"monopolize, take sole possession",,这
,12,一 1.3,1901,0177,8067,"0,004169%",5,5,4,丑,chǒu,chou,third,"clown, comedian; 2nd terrestrial branch",,个
,13,一 1.3,2606,0084,3201,"0,001654%",6,7–9,4,丐,gài,gai,fourth,beggar; beg; give,,们
,14,一 1.3,0,3511,,"0,000000%",,,4,丏,miǎn,mian,third,parapet; invisible,,中
,15,一 1.4,130,0231,296169,"0,153056%",3,2,5,业,yè,ye,fourth,"profession, business; GB radical 111",,来
,16,一 1.4,181,0206,214990,"0,111104%",3,3,5,世,shì,shi,fourth,generation; world; era,,上
,17,一 1.4,194,0225,206238,"0,106581%",1,1,5,东,dōng,dong,first,"east, eastern, eastward",,大
,18,一 1.4,296,0237,144597,"0,074726%",3,2,5,且,qiě,qie,third,"moreover, also (post-subject); about to, will soon (pre-verb)",,为
,19,一 1.4,1026,0347,29585,"0,015289%",5,7–9,5,丝,sī,si,first,silk; fine thread; wire; strings,,和
,20,一 1.4,1678,0281,10665,"0,005512%",6,7–9,5,丛,cóng,cong,second,"bush, shrub; thicket; collection",,国
,21,一 1.4,1929,0268,7886,"0,004075%",6,7–9,5,丘,qiū,qiu,first,hill; elder; empty; a name,,地
,22,一 1.4,2645,0213,3055,"0,001579%",6,7–9,5,丙,bǐng,bing,third,third; 3rd heavenly stem,,到
,23,一 1.4,3748,3535,758,"0,000392%",,,5,丕,pī,pi,first,"great, grand, glorious, distinguished",,以
